"","Year","Month","Day","Sampling Site","Depth","Conductivity (mmohs·cm-1)","pH (units)","Alkalinity (mg·L-1 as CaCO3)","Turbidity (NTU)","Color (PT units)","Calcium (mg·L-1)","Magnesium (mg·L-1)","Iron (mg·L-1)","Total Phosphorus (mg·L-1 as P)","Total Filterable Phosphorus (mg·L-1 as P)","Filterable Reactive Phosphorus (mg·L-1 as P)","Total Kjeldahl Nitrogen (mg·L-1 as N)","Ammonia (mg·L-1 as N)","Nitrate + Nitrite (mg·L-1 as N)","Reactive Silicon (mg·L-1 as Si)","Particulate Carbon (mg·L-1 as C)","Total Particulate Phosphorus (mg·L-1 as P)","Total Particulate Nitrogen (mg·L-1 as N)","N:P (atom ratio)"
"129",1994,7,16,"2",1,164,7.2,6,1.2,8,3.9,4,55,7.5,1.7,1.5,113.9,1.7,70.7,122,442,NA,NA,"59:1"
"130",1994,7,16,"2",66,232,6.5,6,0.3,11,3.9,3.4,58,2.2,1.2,1.1,33.6,1.7,4,743,8,NA,NA,"41:1"
"131",1994,7,16,"3",1,164,7.3,6,1.2,6,3.9,4,51,8.5,1.2,1,115.5,4.7,74.7,128,458,NA,NA,"53:1"
"132",1994,7,16,"3",66,234,6.5,6,0.3,10,3.9,4,56,2.2,1.2,1.2,36,2.3,10.2,756,8,NA,NA,"50:1"
"133",1994,8,15,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,84.5,NA,NA,NA,NA,NA,NA
"134",1994,8,15,"1",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",1994,8,15,"2",1,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,93.9,NA,NA,NA,NA,NA,NA
"136",1994,8,15,"2",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",1994,8,15,"3",1,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,76.1,NA,NA,NA,NA,NA,NA
"138",1994,8,15,"3",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",1994,9,16,"1",1,137,6.4,6,0.9,9,3,2.7,29,10.9,2.8,1.9,105.4,4.7,74.7,256,339,NA,NA,"39:1"
"140",1994,9,16,"1",66,252,6.4,6,0.3,11,4,4.1,17,3.1,1.4,1.3,43.6,2.3,76.4,848,17,NA,NA,"92:1"
"141",1994,9,16,"2",1,146,6.4,6,0.6,10,3,2.7,26,5.6,1.4,1.2,84.6,2.3,76.9,250,134,NA,NA,"69:1"
"142",1994,9,16,"2",66,249,6.4,6,0.2,9,4,4.1,11,2.3,1.9,1.7,37.5,1.7,76.4,814,8,NA,NA,"118:1"
"143",1994,9,16,"3",1,154,6.5,6,0.4,8,4,2.7,11,5.4,1.7,1.5,85.3,4.7,76.9,387,89,NA,NA,"72:1"
"144",1994,9,16,"3",66,229,6.4,6,0.2,9,4,4.1,16,2.6,1.4,1.2,40.6,4.7,52.6,831,8,NA,NA,"85:1"
"145",1994,10,13,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,68.3,NA,NA,NA,NA,NA,NA
"146",1994,10,13,"1",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",1994,10,13,"2",1,NA,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,85.3,NA,NA,NA,NA,NA,NA
"148",1994,10,13,"2",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",1994,10,13,"3",1,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,86.1,NA,NA,NA,NA,NA,NA
"150",1994,10,13,"3",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",1994,11,14,"1",1,145,6.8,6,1,17,2.9,2.7,28,4.6,5.9,5,63,9.4,81.5,751,NA,NA,NA,"75:1"
"152",1994,11,14,"1",66,272,6.6,7,0.3,8,3.8,4.8,11,5.1,1.6,1.5,56.8,4.7,52.1,886,NA,NA,NA,"51:1"
"153",1994,11,14,"2",1,154,6.7,6,0.6,11,2.9,2.7,28,3.9,2,1.6,66.8,4.7,77.5,720,NA,NA,NA,"88:1"
"154",1994,11,14,"2",66,NA,NA,NA,NA,11,NA,NA,NA,3.5,2.6,1.9,47.5,7,53.8,NA,NA,NA,NA,"69:1"
"155",1994,11,14,"3",1,156,6.7,6,0.7,11,2.9,2.7,32,3.8,1.5,1.4,55.2,7,75.2,714,NA,NA,NA,"82:1"
"156",1994,11,14,"3",66,230,6.6,6,0.5,9,3.8,4.8,11,2.9,1.3,1.4,42.9,7,4,825,NA,NA,NA,"39:1"
"157",1993,3,18,"1",1,206,6.2,6,0.3,11,4,3.2,23,2.7,2,1.4,52.2,5,66.8,827,NA,NA,NA,"105:1"
"158",1993,3,18,"1",66,221,6.2,6,1,13,5.1,4.1,96,2.4,1.2,0.8,45.7,1.7,70.6,803,NA,NA,NA,"116:1"
"159",1993,3,18,"2",1,207,6.2,6,0.2,12,5.1,4.1,83,2.5,1.9,1.4,48.6,1.7,67.6,779,NA,NA,NA,"111:1"
